timestamp,datetime,symbol,timeframe,open,high,low,close,volume,sma_20,sma_50,sma_200,ema_12,ema_26,rsi_14,macd,macd_signal,macd_hist,bb_upper,bb_middle,bb_lower,atr_14,obv
1717934400000,2024-06-09 12:00:00,ETH/USDT,4h,3693.49000000,3712.50000000,3680.99000000,3690.59000000,29149.84890000,3740.08700000,3779.36880000,3467.32680000,3704.98613805,3738.04818872,37.95538302,-33.06205067,-29.42622342,-3.63582725,3873.10313182,3740.08700000,3607.07086818,37.64086316,-569868.29420000
1717948800000,2024-06-09 16:00:00,ETH/USDT,4h,3690.60000000,3709.43000000,3689.43000000,3701.09000000,14111.43920000,3732.66600000,3777.62500000,3470.51530000,3704.38673220,3735.31054511,40.99807153,-30.92381291,-29.72574132,-1.19807159,3856.69213021,3732.66600000,3608.63986979,36.38080150,-555756.85500000
1717963200000,2024-06-09 20:00:00,ETH/USDT,4h,3701.09000000,3721.52000000,3693.72000000,3706.40000000,14578.03520000,3725.73550000,3775.78100000,3473.69025000,3704.69646571,3733.16902325,42.53290939,-28.47255754,-29.47510456,1.00254702,3838.89070023,3725.73550000,3612.58029977,35.76788711,-541178.81980000
1717977600000,2024-06-10 00:00:00,ETH/USDT,4h,3706.40000000,3706.94000000,3680.97000000,3684.14000000,17242.09350000,3720.39200000,3773.37360000,3476.86285000,3701.53393252,3729.53724375,38.06285342,-28.00331123,-29.18074590,1.17743467,3830.77212694,3720.39200000,3610.01187306,35.06803803,-558420.91330000
1717992000000,2024-06-10 04:00:00,ETH/USDT,4h,3684.14000000,3692.41000000,3642.74000000,3647.79000000,29285.09660000,3712.10850000,3770.01300000,3480.07335000,3693.26563521,3723.48189236,32.12539842,-30.21625715,-29.38784815,-0.82840900,3818.08579234,3712.10850000,3606.13120766,36.11103531,-587706.00990000
1718006400000,2024-06-10 08:00:00,ETH/USDT,4h,3647.80000000,3681.01000000,3646.94000000,3675.95000000,24499.11550000,3705.59100000,3767.38940000,3483.29145000,3690.60169133,3719.96101145,39.94143938,-29.35932011,-29.38214254,0.02282243,3803.30668429,3705.59100000,3607.87531571,35.96524708,-563206.89440000
1718020800000,2024-06-10 12:00:00,ETH/USDT,4h,3675.95000000,3713.67000000,3662.96000000,3702.54000000,36788.65620000,3699.90250000,3765.57360000,3486.82910000,3692.43835420,3718.67056615,46.23698687,-26.23221195,-28.75215642,2.51994447,3783.38328315,3699.90250000,3616.42171685,37.01844372,-526418.23820000
1718035200000,2024-06-10 16:00:00,ETH/USDT,4h,3702.53000000,3705.68000000,3659.81000000,3668.33000000,27095.94030000,3691.56900000,3762.84000000,3490.21920000,3688.72937663,3714.94163533,40.37328251,-26.21225869,-28.24417688,2.03191818,3748.49307150,3691.56900000,3634.64492850,37.65069774,-553514.17850000
1718049600000,2024-06-10 20:00:00,ETH/USDT,4h,3668.33000000,3677.07000000,3650.64000000,3667.85000000,21452.28250000,3684.92500000,3760.22140000,3493.52355000,3685.51716484,3711.45336604,40.29606460,-25.93620120,-27.78258174,1.84638054,3713.08654080,3684.92500000,3656.76345920,36.84921933,-574966.46100000
1718064000000,2024-06-11 00:00:00,ETH/USDT,4h,3667.85000000,3673.00000000,3567.00000000,3595.60000000,86732.26880000,3680.33650000,3756.48600000,3496.50465000,3671.68375487,3702.87163523,30.75962446,-31.18788036,-28.46364146,-2.72423889,3728.33077644,3680.33650000,3632.34222356,41.78856080,-661698.72980000
1718078400000,2024-06-11 04:00:00,ETH/USDT,4h,3595.60000000,3595.61000000,3505.00000000,3534.60000000,83213.35470000,3673.15050000,3751.55980000,3499.30660000,3650.59394643,3690.40706965,25.31282963,-39.81312323,-30.73353782,-9.07958541,3752.79915610,3673.15050000,3593.50184390,45.27580646,-744912.08450000
1718092800000,2024-06-11 08:00:00,ETH/USDT,4h,3534.60000000,3549.36000000,3503.40000000,3529.56000000,71505.30920000,3665.12850000,3746.16100000,3501.96490000,3631.97333928,3678.49247190,24.92018770,-46.51913262,-33.89065678,-12.62847584,3765.89240073,3665.12850000,3564.36459927,45.32467743,-816417.39370000
1718107200000,2024-06-11 12:00:00,ETH/USDT,4h,3529.56000000,3546.47000000,3432.01000000,3447.75000000,102175.18390000,3652.06700000,3738.75960000,3504.28570000,3603.63128709,3661.40043695,19.60437639,-57.76914986,-38.66635539,-19.10279447,3788.21781419,3652.06700000,3515.91618581,50.26291475,-918592.57760000
1718121600000,2024-06-11 16:00:00,ETH/USDT,4h,3447.75000000,3502.44000000,3432.00000000,3497.21000000,72534.34950000,3642.77100000,3732.52380000,3506.88575000,3587.25878138,3649.23818236,29.40838667,-61.97940098,-43.32896451,-18.65043647,3793.74960059,3642.77100000,3491.79239941,51.70413513,-846058.22810000
1718136000000,2024-06-11 20:00:00,ETH/USDT,4h,3497.21000000,3509.65000000,3483.70000000,3497.33000000,23408.13170000,3633.23100000,3726.53400000,3509.34245000,3573.42358425,3637.98572440,29.43087193,-64.56214016,-47.57559964,-16.98654052,3795.24834647,3633.23100000,3471.21365353,49.86455405,-822650.09640000
1718150400000,2024-06-12 00:00:00,ETH/USDT,4h,3497.33000000,3513.78000000,3462.07000000,3509.99000000,36109.13920000,3624.60000000,3721.26580000,3511.78535000,3563.66457128,3628.50455963,31.89553490,-64.83998835,-51.02847738,-13.81151097,3793.42433355,3624.60000000,3455.77566645,49.99637162,-786540.95720000
1718164800000,2024-06-12 04:00:00,ETH/USDT,4h,3509.99000000,3532.39000000,3507.02000000,3526.71000000,29038.18950000,3616.85700000,3716.45880000,3514.23775000,3557.97925263,3620.96422188,35.11846690,-62.98496926,-53.41977576,-9.56519350,3788.69766353,3616.85700000,3445.01633647,48.23734507,-757502.76770000
1718179200000,2024-06-12 08:00:00,ETH/USDT,4h,3526.70000000,3563.56000000,3516.95000000,3531.72000000,38233.53900000,3609.73200000,3711.62300000,3516.75160000,3553.93936761,3614.35353878,36.09435698,-60.41417117,-54.81865484,-5.59551633,3783.27654801,3609.73200000,3436.18745199,48.12110614,-719269.22870000
1718193600000,2024-06-12 12:00:00,ETH/USDT,4h,3531.73000000,3659.01000000,3531.40000000,3618.32000000,153722.73350000,3606.34850000,3708.49500000,3519.63190000,3563.84408028,3614.64735072,50.07337984,-50.80327044,-54.01557796,3.21230752,3776.41793315,3606.34850000,3436.27906685,53.79888427,-565546.49520000
1718208000000,2024-06-12 16:00:00,ETH/USDT,4h,3618.32000000,3625.70000000,3513.32000000,3529.01000000,104913.67780000,3598.12400000,3703.78220000,3522.08770000,3558.48499101,3608.30384326,40.28614157,-49.81885225,-53.17623282,3.35738057,3766.43981749,3598.12400000,3429.80818251,57.98324968,-670460.17300000
1718222400000,2024-06-12 20:00:00,ETH/USDT,4h,3529.01000000,3574.39000000,3521.88000000,3560.12000000,25026.49500000,3591.60050000,3698.77200000,3525.29560000,3558.73653085,3604.73466969,44.36541409,-45.99813883,-51.74061402,5.74247519,3755.12070908,3591.60050000,3428.08029092,57.59230327,-645433.67800000
1718236800000,2024-06-13 00:00:00,ETH/USDT,4h,3560.13000000,3561.65000000,3476.21000000,3503.00000000,64329.20400000,3581.69600000,3692.82440000,3528.30260000,3550.16167995,3597.19876823,39.08582910,-47.03708828,-50.79990887,3.76282060,3741.44230480,3581.69600000,3421.94969520,59.58142447,-709762.88200000
1718251200000,2024-06-13 04:00:00,ETH/USDT,4h,3502.99000000,3517.32000000,3484.04000000,3507.53000000,30637.87420000,3571.75250000,3686.77040000,3531.29030000,3543.60295996,3590.55663725,39.69871063,-46.95367729,-50.03066256,3.07698527,3723.78305849,3571.75250000,3419.72194151,57.70275129,-679125.00780000
1718265600000,2024-06-13 08:00:00,ETH/USDT,4h,3507.53000000,3511.86000000,3472.60000000,3497.17000000,36046.77820000,3562.40400000,3680.50480000,3534.22115000,3536.45942766,3583.63910856,38.73875731,-47.17968091,-49.46046623,2.28078532,3708.52050398,3562.40400000,3416.28749602,56.38541191,-715171.78600000
1718280000000,2024-06-13 12:00:00,ETH/USDT,4h,3497.17000000,3539.83000000,3433.00000000,3441.73000000,107443.97940000,3552.10100000,3673.14780000,3536.82085000,3521.88566956,3573.12732274,34.00060987,-51.24165319,-49.81670362,-1.42494957,3701.69951121,3552.10100000,3402.50248879,59.98859678,-822615.76540000
1718294400000,2024-06-13 16:00:00,ETH/USDT,4h,3441.73000000,3491.55000000,3428.00000000,3481.43000000,40773.56830000,3542.37500000,3666.69020000,3539.71100000,3515.66172039,3566.33492847,39.68926344,-50.67320807,-49.98800451,-0.68520356,3683.55749658,3542.37500000,3401.19250342,60.24298272,-781842.19710000
1718308800000,2024-06-13 20:00:00,ETH/USDT,4h,3481.43000000,3491.55000000,3461.59000000,3469.40000000,20999.42580000,3530.71800000,3659.80660000,3542.42940000,3508.54453264,3559.15456340,38.60344933,-50.61003075,-50.11240976,-0.49762100,3654.50596155,3530.71800000,3406.93003845,58.07991253,-802841.62290000
1718323200000,2024-06-14 00:00:00,ETH/USDT,4h,3469.40000000,3510.53000000,3457.37000000,3490.91000000,33997.55130000,3521.84700000,3652.09400000,3545.23090000,3505.83152762,3554.09941055,41.67593383,-48.26788293,-49.74350439,1.47562146,3629.26303104,3521.84700000,3414.43096896,57.72849020,-768844.07160000
